department_id,department_name,subdepartment_id,subdepartment_name,kpi_ref_number,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_actual,second_quarter_target,third_quarter_target,fourth_quarter_target,budget,performance_standard
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS07,Improve stakeholker relation,NO. of CSF meetings ,65,"Minutes of meetings and attendance registers,",New,4 Agenda & Minutes,1,1,1,1,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS08,Inhouse training,% training of officials and councillors on fire fighting,70,Attendance register.,100%,100% Inhouse training of officials and councillors,100%,-,100%,100%,A3-Vote 3,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS09,Abnormal Vehicles Escorts,% of  revenue generated on abnormal vehicles escorted as per planned escorts and requests,63,"Notofications of planned escorts, Register of abonrmal vehicles, copy of permit and Proof of payment",100%,100% of revenue collected from abnormal vehicle escorts,100%,100%,100%,100%,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS10,Businesses inspection,30 formal businesses to be inspected,57,Reports on formal business inspected and compliance checklist signed by the inspector and Business owner.,70,100,25,25,25,25,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS11,,30 informal businesses to be  inspected,56,Reports on informal business inspected and compliance checklist signed by the inspector and Business owner.,100,120,30,30,30,30,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS12,Provision of refuse collection services ,No. of trips to collect refuse in serviced areas   ,62,Refuse collection Schedule and Law book for each Quarter,858,816 Trips,204,204,204,204 Trips,A3-Vote11,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS13,Provision of refuse collection services ,No. of new households with refuse collection services,62,Refuse collection Schedule and Law book for each Quarter,30 675 households with refuse collection service,1017 New  Households with refuse collection services,255 households with refuse collection service,255 households with refuse collection service,255 households with refuse collection service,252 households with refuse collection service,A3-Vote11,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS14,Cleaning of streets in the CBD,No. of streets  cleaned,62,Signed off Reports and Checklist,12 Streets cleaned ,12 street in the CBD and adjacent streets to be cleanded,12,12,12,12,A3-Vote11,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS15,Refuse container removed in the CBD,No. of trips for removal of refuse containers  in commercial buildings,62,Collection schedule for removal of refuse container Signed by security Guard,"3,360",3360,840,840,840,840,A3-Vote11,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS16,Reducing illegal dumping spots,% of illegal dumping spots identified and cleared,62,"Inspection report and or complaint report. Log book,schedule and clearing report signed off by supervisor and monthly reports signed off by Manager",100% identified illegal dumping spots cleaned,100% of identified illegal dumping spots to be cleaned,100%,100%,100%,100%,A3-Vote11,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS17,Compliance of landfill sites with environmental standards,% Compliance with DEA standards,62,Signed off inspection report by District inspector.,100%,100%,_,100%,_,100%,A3-Vote11,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS18,Maintain parks and recreational facilities,No of parks that are  cleaned and maintained,62,Park scheduled signed off by supervisor and Monthly reports,6 parks,6,6,6,6,6,A3-Vote 9,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS19,,No of times recreational facilities are cleaned and maintained,64,Monthly reports and recreation facilities Scheduled signed by supervisor and cleaner,15 times,15,15,15,15,15,A3-Vote 9,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS20,Sport and Culture,No. of sports tournaments held,67,Reports and pictures,1 Mayoral Cup and 1 Festive Tournament,2,0,1,1,0, A3-Vote 9 ,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS21,,No. of Cultural events held,66,"Reoprts ,Invitations and pictures",1 Cultural events,1 Cultural event,1,0,0,0,,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS22,Access to library services,No .of Library outreach programmes conducted ,65,Detailed Reports  on Library outreach programmes and pictures for each Quarter ,4,4 Library outreach programmes,1,1,1,1,A3-Vote 6,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS23,Involvement of stakeholder in clean-up campaigns,No.of stakeholders awareness and clean-up campaigns held,65,Detailed Reports  on awareness and clean-up  for each quarter and pictures with date and venue,4,4 Awareness and clean-up campaigns,1,1,1,1,A3-Vote 11,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS24,litter picking programme,number of km litter pick,65,Schedule of kms,New,To cover 20 km a day,To cover 20 km a day,To cover 20 km a day,To cover 20 km a day,To cover 20 km a day,A3-Vote 9,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS25,Waste reports submitted DEA,Waste reports submitted DEA,65,12 Reports,New,12,3,3,3,3,A3-Vote 9,KPI Extremely Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS26,Greening of Emkhondo,No. of greening at eMkhondo,65,Pictures of the area planned to be greened.,New,2 Greening project establish ,_,1 greening project completed,1 greening project completed,_,A3-Vote 9,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS01,Facilitate the allocation of Bursaries to members of the community,% of funds allocated to bursaries,93,Bursary contracts signed with bursary holders.,100%,100% budget amount spend,12.50%,-,-,87.50%,A3-Vote 3,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS02,Facilitation of Training per  Skills Development,Proof of attendance and / or confirmation of completion of courses ,90,Attendance registers with dates and / or certificates for completed courses,45 interventions,40 interventions,10 interventions,10 interventions,15 interventions,05 interventions,A3-Vote 3,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS03,Compilation of Workplace Skills Plan,confirmation letter,90,Proof of WSP submission to LGSETA,1 WSP Submitted,1 WSP Submitted,-,-,-,Submit 1 plan and annual training report by the 4th quarter,A3-Vote 3,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS04,Facilitate the Occupational Health and Safety workshops,No. of workshop conducted,75,Attendance register and workshop report.,10,20,5,5,5,5,A3-Vote 3,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS05,Compile Employment Equity Report and Plan,One Employment Equity Plan and report submitted,73,Proof of submission of the Employment Equity Plan and Report to the Department of Labour,1 report submitted,1 Submission,-,-,Submission of  Employment Equity Report and Plan ,-,A3-Vote 3,KPI Extremely Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS06,Monitor Employee Wellness Programme / Employee Assistance Programme,Monthly reports prepared and submitted,85,Monthly reports prepared and submitted by service.,12,12,3,3,3,3,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS07,Facilitation and coordination of the recruitment and selection process.,Percentage of all requests processed,113,"Requests, Adverts and time control sheets for each position.",80%,Processing of 70% of all requests approved by the MM ,Processing of 70% of all requests approved by the MM ,Processing of 70% of all requests approved by the MM ,Processing of 70% of all requests approved by the MM ,Processing of 70% of all requests approved by the MM ,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS08,Facilitation and coordination of Induction Programme,No. of Induction workshops held.,114,Attendance register and induction report.,New,12,3,3,3,3,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS09,Youth intervention Programme ,Youth intervention programmes implemented.,81,Reports and attendance registers  ,4,4,1,1,1,1,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS10,Support functioning of Mkhondo Youth Council ,Proof of meetings coordinated,115,Minutes and Attendance registers,Mkhondo Youth Council was launched,Relaunch of existing Mkhondo Youth Council (MYC) structure. Coordinate and support 4 meetings ,Organise and support the relaunch of Mkhondo Youth Council,1 MYC meeting coordinated and supported for effective functioning,1 MYC meeting coordinated and supported for effective functioning,1 MYC meeting coordinated and supported for effective functioning,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS11,"Advertising of vacancies, notices and tenders","Percentage of adverts of  all approved tenders, notices and vacancies.",74,"Comperative figures of adverts for tenders ,notices and vacancies requested and approved with copies", 100% adverts requested,90% of requested and approved adverts processed on time,90% of the requested and approved adverts published on time,90% of the requested and approved adverts published on time,90% of the requested and approved adverts published on time,90% of the requested and approved adverts published on time,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS12,Support the functioning of the Disability Forum,Number of programmes implemented for  the disabled stakeholders,116,Reports and Attendance registers.,1 existing Disability Stakeholders Forum (DSF),4 Programmes implemented for people with disability in support of the DSF,1 DSF meeting coordinated and supported,Implement 01 Disability Awareness programme,01 DSF meeting coordinated and supported,Co-ordinate participation of local People with Disabilities at the District Disability Games,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS13,Monitor ffectiveness of ward committees,"Proof  of meeting co-ordinated, media briefings held and publication produced ",72,"Report of the meetings and briefings, attendance registers and copies of publications",04 Ward Committee meetings assessed and 4 publications,04 Ward Committees' Review meetings cordinated.  04 publications produced. 04 Media Briefing Session coordinated  ,01 Ward Committee Review meeting cordinated. 01 publication produced. 01 Media Briefing Session coordinated ,01 Ward Committee Review meeting cordinated. 01 publication produced. 01 Media Briefing Session coordinated ,01 Ward Committee Review meeting cordinated. 01 publication produced. 01 Media Briefing Session coordinated ,01 Ward Committee Review meeting cordinated. 01 publication produced. 01 Media Briefing Session coordinated ,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS14,Co-ordination  of outreach programmes,Documentary proof of community outreach programmes co-ordinated,79,"Correspondance, reports and attendance registers",100% of requested and approved adverts processed,04 executive outreach programme,01 executive outreach programme,01 executive outreach programme,01 executive outreach programme,01 executive outreach programme,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS15,"Co-ordinate workshops to increase awarenes on drivers of HIV, TB and STI prevention, care and impact",confirmation that awareness have implemented ,77,Reports and attendance registers,One Local AIDS Council (LAC) and 16 Ward AIDS Committees,Coordinate and support 4 LAC's and WACs' meetings ,01 LAC's and WACs' meetings coordinated and supported,01 LAC's and WACs' meetings coordinated and supported,01 LAC's and WACs' meetings coordinated and supported,01 LAC's and WACs' meetings coordinated and supported,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS16,Co-ordination implementation of Male Medical Circumcision (MMC) programme,Documntary proof of Male Circumcision programmes coordinated,80,Reports and attendance registers,6 MMC programmes co-ordinated,4 MMC and HIV & AIDS awareness programmes co-ordinated and supported,-,02 MMC and HIV/AIDS awareness programmes co-ordinated and supported,-,02 MMC and HIV/AIDS awareness programmes co-ordinated and supported,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS17,Cleaning Services,proof that municipal buildings are attended to regularly,96,Filled in dailly check list and reports for the 16 municipal facilities ,16  municipal building cleaned on a daily basis,16 municipal building cleaned regularly,16 Facilities attended to,16 municipal building cleaned regularly,16 municipal building cleaned regularly,16 municipal building cleaned regularly,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS18,Cordination of Council Resolutions,Documentary proof of submission of  updated council resolutions,83,Abridged minutes of Council reflecting submission of resolution register ,(02)  updates of resolution registers submitted to Council,(02)  updates of resolution registers submitted to Council,(01)  update of resolution register submitted to Council,-,(01)  update of resolution register submitted to Council,-,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS19,Report on attendance of Council meeting by councillors,Proof of submission to Council of a report on councilor’s attendance,117,Abridged minutes of Council reflecting submission of Councillors attendance reports ,2 Attendance reports submitted to Council,2 Attendance reports submitted to Council,01 Attendance report submitted to Council,-,01 Attendance report submitted to Council,-,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS20,Drafting of minutes,Proof that Minutes of Council and its  committee meetings are crafted,97,abridged minutes of Council and its committees,(36) crafted minutes of Council and its committees submitted ,100% of Minutes of Council and its  committee meetings are crafted,100% of Minutes of Council and its  committee meetings are crafted,100% of Minutes of Council and its  committee meetings are crafted,100% of Minutes of Council and its  committee meetings are crafted,100% of Minutes of Council and its  committee meetings are crafted,A3-Vote 3,KPI Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS21,Proper Management of the System,No of record management reports produced,87,(04) trainings and (12) Records  Management reports from srvice provider,12 reports,(04) Trainings and 12 reports,(01) training on records management system and (3) reports from services provider,(01) training on records management system and (3) reports from services provider,(01) training on records management system and (3) reports from services provider,reports submitted to section  80 committee ,A3-Vote 3,KPI Well Met
4,CORPORATE SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,CS22,Hall  letting by-law,Approved hall letting bylaw ,84,Approved Hall letting bylaw,Hall letting process,Approved by-law,Draft by-law for letting ,Approval of by-law by Council,-,-,A3-Vote 3,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS01,Implement Water Conservation & Water Demand Management,Number of water conservation and water demand management programs implemented,98,"Attendance register, Certificate of attendance ",High illegal connections and water losses,3,None,1,1,1, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS02,"Review & Development of operations & maintaince manuals, procedures /plans, assest management, water safety plan & W2RAP","Number of Reviewed & developed operations & maintaince manuals, procedures /plans, assest management, water safety plan & W2RAP",98,"9 Updated Operations & maintaince manuals, procedures /plans, assest management, water safety plan & W2RAP","Outdated Operations & maintaince manuals, procedures /plans, assest management, water safety plan & W2RAP",9,4,3,2,NONE, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS03,Awareness Campaigns,Number of awareness campaigns,98,"awareness campaign reports, pictures, attendance register",New KPI,4,1,1,1,1, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS04,"Provision of water through to Amster-dam, Mkhondo, Saul Mkhize Water Supply Schemes",Number of Ml of treated water,98,Monthly Reports  generated from metre readings,9432 Ml of treated water provided to the community of Kwa Thandeka and Amsterdam,7500 Ml ,1875 Ml ,1875 Ml ,1875 Ml ,1875 Ml , Refer to Opex - vote 13 ,KPI Well Met
