department_id,department_name,subdepartment_id,subdepartment_name,kpi_ref_number,kpi,kpa_name,kpa_id,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_target,budget
5,Technial Services,13,Technial Services,Tec36,Number of new community halls constructed during fourth quarter at Mafefe Traditional Authority ,Basic Service Delivery,3,10,Detailed design and bid advert,,Construct 1 community hall at Mafefe Traditional Authority  during fourth quarter,Detail designs and advertisement for appointment of contractor,R4 400 000.00(MIG funding)
5,Technial Services,13,Technial Services,Tec37,Number of  Municipal Waste disposal infrastructure drilled during fourth quarter,Basic Service Delivery,3,11,Appointment letter and  progress report,1, Mathibela Waste Transfer Station Drilling and equipping of boreholes and Electricity  ,Detail designs and advertisement for appointment of contractor,R4 400 000.00 (own funding)
5,Technial Services,13,Technial Services,Tec38,Number of new cemeteries constructed during fourth quarter in Lebowakgomo,Basic Service Delivery,3,12,Progress Report,1,Development of  one municipal  cemetery in Lebowakgomo during fourth quarter ,Appointment of contractor,R4 400 000.00 (own  funding)
5,Technial Services,13,Technial Services,Tec39,Number of municipal offices constructed at civic centre during fourth quarter ,Basic Service Delivery,3,13,Scoping report,0,Construction of one municipal offices at Civic Centre during fourth quarter (phase1),50 % Construction stage,R400 000.00 
5,Technial Services,13,Technial Services,Tec40,Number of VTS facilities constructed at Community Services Department in zone A,Basic Service Delivery,3,15,Scoping report,0,Construction of one VTS at Community Services Department Zone A,Inception report(Scoping report),R7 600 000.00
5,Technial Services,13,Technial Services,Tec41,Number of Waste Transfer  stations  constructed in Lebowakgomo,Basic Service Delivery,3,14,Scoping report,0,Construction of two transfer stations in Lebowakgomo ,Inception report(Scoping report),R6 000 000.00 (own funding)
5,Technial Services,13,Technial Services,Tec42,"Number of municipal parks   constructed in Lebowakgomo zone F, B and S",Basic Service Delivery,3,15,,0,"Construction of three municipal Parks  in Lebowakgomo zone F,B and S",Detail designs and advertisement for appointment of contractor,R900 000.00 (own funding)
5,Technial Services,13,Technial Services,Tec43,Number of km of road and  storm water control constructed at  Mathabatha (Mashadi),Basic Service Delivery,3,19,Detailed design and bid advert,87,Development of Designs for Mathabatha (Mashadi) .,Project registration with MIG,R1500 000.00 (own funding)
5,Technial Services,13,Technial Services,Tec44,"Completion of 16 High mast light Highmast Lights (Mamaolo, Rakgwatha,Lesetsi,Mogotlane, maijane,Mathabatha, Zone F,B(X2), A, Q (X2) S,Rx2, CBD)  ",Basic Service Delivery,3,16,Detailed design and bid advert,50.00%,16,Detail designs and advertisement for appointment of contractor,R1 000 000.00 (own funding)
5,Technial Services,13,Technial Services,Tec45,% of appointed service providers assessed quarterly ,Good Governance ,6,17,Approved assessment report by accounting officer,70.00%,100% of appointed services providers assessed quarterly ,100% of the appointed service providers assessed quarterly ,"R 3,107,270.24 (MIG funding)"
5,Technial Services,13,Technial Services,Tec46,% of risk queries attended and responded to on a quarterly basis ,Good Governance ,6,17,Signed report by accounting officer,70.00%,100% of risk queries attended and responded to on a quarterly ,100% of risks queries issued and attended to on a quarterly basis,"R 1,100,000.00"
5,Technial Services,13,Technial Services,Tec47,% of audit queries attended and responded to on a quarterly basis ,Good Governance ,6,17,Signed report by accounting officer,70.00%,100% of audit queries attended and responded to on a quarterly ,100% of audit queries issued and attended to on a quarterly basis,R 0.00
5,Technial Services,13,Technial Services,Tec48,% of MPAC queries attended and responded to on a quarterly basis ,Good Governance ,6,17,Signed report by accounting officer,90.00%,100% of MPAC queries attended and responded to on a quarterly ,100% of MPAC queries issued and attended to on a quarterly basis,R 0.00
5,Technial Services,13,Technial Services,Tec49,% of council resolution queries attended and responded to on a quarterly basis ,Good Governance ,6,17,Signed report by accounting officer,53.00%,100% of council resolution queries attended and responded to on a quarterly ,100% of council resolution queries issued and attended to on a quarterly basis,R 0.00
5,Technial Services,13,Technial Services,Tec50,% of approved budget spent  on a quarterly basis ,Good Governance ,6,17,Quarterly trial balance report,4,100% of approved budget spent  on a quarterly ,100% of approved budget spent  ,R 0.00
5,Technial Services,13,Technial Services,Tec51,Number of reports compiled on back to basics ,Good Governance ,6,17,Signed report by accounting officer and submission to CoGHSTA,491,Compile four reports on back to basics on a quarterly ,Compile one report on back to basics ,R 0.00
5,Technial Services,13,Technial Services,Tec52,Number of EPWP job opportunities created through Social and Environment and Culture Sectors ,Local Economic Development,4,18,Signed Contracts by the beneficiaries and the Municipal Manager,491,491 for infrastructure sector,491 EPWP beneficiaries appointed ,"R1m (CDM grant)
R250 000 (CDM grant)
R1 295 000 EPWP grant)
R1 431 740                    
(Own funding)"
