department_name,department_id,subdepartment_id,subdepartment_name,kpi_ref_number,kpa_name,kpi_owner_id,kpa_id,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_target,second_quarter_target,third_quarter_target,fourth_quarter_target,budget
Municipal Manager's Office,1,1,Municipal Manager's Office,11,Municipal Transformation and Institutional Development,6,2,upgrading of server licenses to 2013 version,certificate ,6,Print Screen reports,servers using 2006 & 2008 versions,Purchased Microsoft open volume license by June 2017,90% of vacant and budgeted posts filled (below section 56 managers),96% of vacant and budgeted posts filled (below section 56 managers),30% Implementation of OHS Risk Register ,97% of vacant and budgeted posts filled (below section 56 managers),350000
Municipal Manager's Office,1,1,Municipal Manager's Office,12,Municipal Transformation and Institutional Development,6,2,purchasing of Microsoft open volume license,"Appointment letter, Payroll",7,valid certificate ,individual licenses,97% of vacant and budgeted posts to be filled (below section 56 managers) by June 2017,10% Implementation of OHS Risk Register ,20% Implementation of OHS Risk Register ,N/A,60% Implementation of OHS Risk Register,120000
Municipal Manager's Office,1,1,Municipal Manager's Office,13,Municipal Transformation and Institutional Development,6,2,90% of vacant and budgeted posts filled (below section 56 managers),percentage,7,Appointment letters of employees signed by Municipal Manager,98% of vacant and budgeted posts have been filled,60% of OHS risk register implemented by June 2017,N/A,N/A,Submission of results by all bursary holders                                         - bursary holders  registered for 2017 academic year  ,Review and adoption of  Municipal Policies by June 2017,0
Municipal Manager's Office,1,1,Municipal Manager's Office,14,Municipal Transformation and Institutional Development,6,2,60% Implementation of OHS Risk Register ,adoption,7,Developed Risk register and council resolution,Risk Register in place ,Reviewed Municipal Policies and adopted by council by June 2017,1,1,1 wellness event Co-ordinated  (1 Outgoing Tournament),N/A,150000
Municipal Manager's Office,1,1,Municipal Manager's Office,15,Municipal Transformation and Institutional Development,6,2,Review of Municipal Policies,Reports,7,Reviewed policies and council resolution.,Municipal Policies were reviewed and adopted in May 2016,09 bursary holders registered for 2017 Academic year,2,2,2 wellness event Co-ordinated  (1 Outgoing Tournament),1 wellness event Co-ordinated (1 Outgoing Tournament ),500000
Municipal Manager's Office,1,1,Municipal Manager's Office,16,Municipal Transformation and Institutional Development,6,2,Registration of continuing 09 bursary holders ,"Registers, Photo’s",8,"Bursary committee signed reports, and commitment letter to institutions",Municipal Policies were reviewed and adopted in May 2017,Co-ordinated 4 wellness  events by June 2017,0,0,,2 wellness event Co-ordinated (1 Outgoing Tournament ),1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,17,Infrastructure and Service Delivery,6,3,Co-ordinate 4 wellness  events,"Registers, Photo’s",8,Attendance registers or photos,Municipal Policies were reviewed and adopted in May 2018,Co-ordinated 4 wellness  events by June 2018,Development of Maintenance plan approved by Municipal Manager council by May 2015,100,N/A,N/A,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,18,Infrastructure and Service Delivery,7,3,Development of a three year capital plan adopted by council by May 2016,adoption,8,Attendance registers or photos,Municipal Policies were reviewed and adopted in May 2019,Developed a three year capital plan adopted by council by May 2016,N/A,75,100% Maintenance of Mgwalana Access Road at ward 12 (11kms),75% completion of Ngcobo 11 Bridges and Access Road (ward 11,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,19,Infrastructure and Service Delivery,7,3,Development of maintenance plan approved by the Municipal Manager,adoption,1,Council resolution and a signed Three year capital Plan,Municipal Policies were reviewed and adopted in May 2020,Development of a Maintenance plan of roads by Municipal Manager by May 2015,Advertisement of  designs for the construction of Extension 11 Bridge and Access Road (ward 11),Appointment of service provider for the completion of Hlophekazi Access Roads (ward 20),100% Maintenance of Maqanda Access Road at Ward 8 (2.5kms),75% completion of Yawa Bridges (ward 18),1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,20,Infrastructure and Service Delivery,7,3,Maintenance of Mgwalana Access Road at ward 12 (11kms),%,1,Maintenance Plan signed by Municipal Manager,Municipal Policies were reviewed and adopted in May 2021,100% Maintenance of Mgwalana Access Road at ward 12 (11kms) by June 2017,Advertisement for the designs for the construction of Yawa Bridge (ward 18),Appointment of service provider and  20% completion of Mgwalana Access Roads (ward 12),100% Maintenance of Ntlalukana Access Road at ward 4 (4.5kms),N/A,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,21,Infrastructure and Service Delivery,7,3,Maintenance of Maqanda Access Road at Ward 8 (2.5kms),%,1,"Advert, Appointment Letter, Progress Report and Dated Photos, completion certificates",Municipal Policies were reviewed and adopted in May 2022,100% Maintenance of Maqanda Access Road at Ward 8 (2.5kms) by June 2017,Advertisement of construction of Hlophekazi Access Roads (ward 20),Appointment of service provider and  20% completion of Cwecweni – Jojoweni Access Roads (ward 02),50% completion of Ngcobo 11 Bridges and Access Road (ward 11),N/A,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,22,Infrastructure and Service Delivery,7,3,Maintenance of Ntlalukana Access Road at ward 4 (4.5kms),%,1,"Appointment Letter, Progress Report and Dated Photos, completion certificates",Municipal Policies were reviewed and adopted in May 2023,100% Maintenance of Ntlalukana Access Road at ward 4 (4.5kms) by June 2017,Advertisement of construction of Mgwalana Access Roads (ward 12),Appointment of service provider and  20% completion of Gubenxa -Zikonxa Access Road (ward 20),25% completion of Yawa Bridges (ward 18),N/A,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,23,Infrastructure and Service Delivery,7,3,Construction of Extension 11 Bridge and Access Road (ward 11),%,1,"Advert, Appointment Letter, Progress Report and Dated Photos, completion certificates",Municipal Policies were reviewed and adopted in May 2024,75% completion of  Ngcobo Extension 11 Bridges and Access Road (ward 11) by June 2017,Advertisement of construction of Cwecweni - Jojoweni Access Roads (ward 02),Appointment of service provider and  20% completion of weigh bridge at Ngcobo Landfil,100% completion of Hlophekazi Access Roads (ward 20),80% completion of Ngcobo Stadium (ward 11),1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,24,Infrastructure and Service Delivery,7,3,Construction of  Yawa Bridges (ward 18),%,1,Council resolution ,Coordinated 5 Wellness events,75 % completion of Yawa Bridges (ward 18) by June 2017,Advertisement of construction of Beyele Access Roads (ward 9),Advertisement of construction of LED Project,80% completion of Mgwalana Access Roads (ward 12),,300000
Municipal Manager's Office,1,1,Municipal Manager's Office,25,Infrastructure and Service Delivery,7,3,Construction for Hlophekazi Access Roads (ward 20),%,1,"Advert, Appointment Letter, Progress Report and Dated Photos, completion certificates",Coordinated 5 Wellness events,100 % completion of Hlophekazi Access Roads at ward 20 (2.5kms) by June 2017,Advertisement of construction of Gonqozayo Access Road (ward 16),Appointment of service provider and  20% completion of access road,80% completion of Cwecweni - Jojoweni Access Roads (ward 02),N/A,300000
Municipal Manager's Office,1,1,Municipal Manager's Office,26,Infrastructure and Service Delivery,7,3, Construction of Mgwalana Access Roads (ward 12),%,1,Quarterly progress reports on road maintenance,Three year capital plan in place,100 % completion of Mgwalana Access Roads (ward 12) by June 2017,Advertisement of construction of Quthubeni Access Roads (ward 13),N/A,80% completion of access road,100% completion of LED Project,0
Municipal Manager's Office,1,1,Municipal Manager's Office,27,Infrastructure and Service Delivery,7,3,Construction of Cwecweni - Jojoweni Access Roads (ward 02),%,1,Progress Report s,Nil,100 % completion of Cwecweni - Jojoweni Access Roads (ward 02) by June 2017,Advertisement of construction of Ntsimba Access Roads (ward 3),Appointment of service provider ,80% completion of Sentube Access Road (ward 15),N/A,0
Municipal Manager's Office,1,1,Municipal Manager's Office,28,Infrastructure and Service Delivery,7,3,Construction of Beyele Access Roads (ward 9),%,1,"Advert, Appointment Letter, Progress Report and Dated Photos, completion certificates",Nil,100 % completion of Beyele Access Roads (ward 9) by June 2017,Advertisement of construction of Lower Gqaga Access Roads (ward 19),Appointment of service provider ,80% completion of Gonqozayo Access Road (ward 16),N/A,R2 000 000.00
Municipal Manager's Office,1,1,Municipal Manager's Office,29,Infrastructure and Service Delivery,7,3,Construction of Sentube Access Road (ward 15),%,1,Signed Attendance ,Nil,100 % completion of Sentube Access Roads (ward 15) by June 2017,Advertisement of construction of Gubenxa -Zikonxa Access Road (ward 20),Appointment of service provider ,80% completion of Quthubeni Access Roads (ward 13),50% completion of Electrification,R2 000 000.00
Municipal Manager's Office,1,1,Municipal Manager's Office,30,Infrastructure and Service Delivery,7,3,Construction of Gonqozayo Access Road (ward 16),%,1,Signed Attendance ,Nil,100 % completion of Gonqozayo Access Road (ward 16) by June 2017,Advertisement of weigh bridge at Ngcobo Landfil,Appointment of service provider ,80% completion of Ntsimba Access Roads (ward 3),50% completion of Electrification,R2 000 000.00
Municipal Manager's Office,1,1,Municipal Manager's Office,31,Infrastructure and Service Delivery,7,3,Construction of  Quthubeni Access Roads (ward 13),%,1,Signed Attendance ,Nil,100 % completion of Quthubeni Access Roads (ward 13) by June 2017,N/A,Appointment of service provider ,80% completion of Lower Gqaga Access Roads (ward 19),50% completion of Electrification,11907206.11
Municipal Manager's Office,1,1,Municipal Manager's Office,32,Infrastructure and Service Delivery,7,3,Construction of Ntsimba Access Roads (ward 3),%,1,Signed Attendance ,Nil,100 % completion of Ntsimba Access Roads (ward 3) by June 2017,Advertisement of construction of access road,25 % expenditure Reports on Maintenance on Roads,80% completion of Gubenxa -Zikonxa Access Road (ward 20),50% completion of Electrification,5212560.9
Municipal Manager's Office,1,1,Municipal Manager's Office,33,Infrastructure and Service Delivery,7,3,Construction of  Lower Gqaga Access Roads (ward 19),%,1,Signed Attendance ,Nil,100 % completion of Lower Gqaga Access Roads (ward 19)  by June 2017,Electrical backlog plan Development adopted by Council 31 March 2017,Road re-ceiling (potholes),Advertisement and Appointment of service provider for the Construction of Ngcobo Stadium (ward 11) and 20% completion of Ngcobo Stadium (ward 11),50% completion of Electrification,650000
Municipal Manager's Office,1,1,Municipal Manager's Office,34,Infrastructure and Service Delivery,7,3,Construction for Gubenxa -Zikonxa Access Road (ward 20),%,1,Signed Attendance ,Nil,100% completion of Gubenxa -Zikonxa Access Road (ward 20) by June 2017,Advertisement of construction of Electrification,"Appointment of letter, 20% construction Street light designs",,25% expenditure Reports on Maintenance on Roads,
Municipal Manager's Office,1,1,Municipal Manager's Office,35,Infrastructure and Service Delivery,7,3,Construction of  Ngcobo Stadium (ward 11),adoption,1,Signed Attendance ,Nil,100% completion of Ngcobo Stadium (ward 11) by June 2017,Advertsment of construction of Electrification,1 Forum meetings with human settlements conducted,100% completion of weigh bridge at Ngcobo Landfil,N/A,2500000
Municipal Manager's Office,1,1,Municipal Manager's Office,36,Infrastructure and Service Delivery,7,3,Supply and Fit of weigh bridge at Ngcobo Landfil,%,1,Signed Attendance ,Nil,100 % completion of Ngcobo Landfil by June 2017,Advertisement of construction of Electrification,1 Forum meetings with human settlements conducted,Appointment of service provider and  20% completion of LED Project,50% construction of street lights,
Municipal Manager's Office,1,1,Municipal Manager's Office,37,Infrastructure and Service Delivery,7,3,Construction of LED Project,%,1,Signed Attendance ,Nil,100 % completion of LED Project by June 2017,Advertisement of construction of Electrification,1 Forum meetings with human settlements conducted,80% completion of access road,1 Forum meetings with human settlements conducted,1800000
Municipal Manager's Office,1,1,Municipal Manager's Office,38,Infrastructure and Service Delivery,7,3,Upgrading of Streets (ward 11),%,1,Signed Attendance ,Nil,100 % completion of street upgrading by June 2017,Advertisement of construction of Electrification,1 Forum meetings with human settlements conducted,N/A,1 Forum meetings with human settlements conducted,2000000
Municipal Manager's Office,1,1,Municipal Manager's Office,39,Infrastructure and Service Delivery,7,3,Electrical backlog plan Developed,%,1,Signed Attendance ,Nil,Development of an Electrical backlog plan and   adopted by Council 31 March 2017,25% expenditure Reports on Maintenance on Roads,1 Forum meetings with human settlements conducted,50% completion of Electrification,1 Forum meetings with human settlements conducted,1500000
Municipal Manager's Office,1,1,Municipal Manager's Office,40,Infrastructure and Service Delivery,7,3,Electrification of Lower Gqaga Village 438 households,%,1,Refuse collection register Signed by the driver and representative from the All Saints Hospital,Nil,100% completion of Lower Gqaga Village 438 households by June 2017,N/A,1 Forum meetings with human settlements conducted,50% completion of Electrification,1 Forum meetings with human settlements conducted,
Municipal Manager's Office,1,1,Municipal Manager's Office,41,Infrastructure and Service Delivery,7,3,Electrification of Mkonkotho Village 121 households,%,1,Refuse collection register Signed by the Driver and the Supervisor,Nil,100% completion of Mkonkotho Village 121 Households by June 2017,Advertisement for the construction of Street light ,1 Forum meetings with human settlements conducted,50% completion of Electrification,1 Forum meetings with human settlements conducted,850000
Municipal Manager's Office,1,1,Municipal Manager's Office,42,Infrastructure and Service Delivery,7,3,"Electrification of Ntabomvu, Bombotho, Manzimdaka, Gubenxa, Nqancule and Gqutyini households",Report,1,Refuse collection register Signed by the Driver and the Supervisor,Nil,"100% completion of Ntabomvu, Bombotho, Manzimdaka, Gubenxa, Nqancule and Gqutyini  137 Households by June 2017",1 Forum meetings with human settlements conducted,1 Forum meetings with human settlements conducted,50% completion of Electrification,1 Forum meetings with human settlements conducted,1500000
Municipal Manager's Office,1,1,Municipal Manager's Office,43,Infrastructure and Service Delivery,7,3,Electrification of Lower Qebe Link Line,Reports,1,Refuse collection register Signed by the Driver and the Supervisor,Nil,100% completion Lower Qebe Link Line (12kms) by June 2017,1 Forum meetings with human settlements conducted,1 Forum meetings with human settlements conducted,50% completion of Electrification,1 Forum meetings with human settlements conducted,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,44,Infrastructure and Service Delivery,7,3,Electrification of Ngxebe village Villagehouseholds,Registers,1,Refuse collection register Signed by the Driver and the Supervisor,Nil,100% completion of Ngxebe Village 535 households by June 2017,1 Forum meetings with human settlements conducted,1 Forum meetings with human settlements conducted,25% expenditure Reports on Maintenance on Roads,1 Forum meetings with human settlements conducted,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,45,Infrastructure and Service Delivery,7,3,Preparation of expenditure reports on Maintenance of Roads,Reports,1,Refuse collection register Signed by the Driver and the Supervisor,Nil,100% expenditure Reports on Maintenance on Roads  by June 2017,1 Forum meetings with human settlements conducted,1 Forum meetings with human settlements conducted,N/A,1 Forum meetings with human settlements conducted,1866000
Municipal Manager's Office,1,1,Municipal Manager's Office,46,Infrastructure and Service Delivery,7,3,Road re-ceiling (pothole),,1,Refuse collection register Signed by Driver and the Supervisor,Nil,Road re-ceiling (pothole) by June 2017,1 Forum meetings with human settlements conducted,Refuse collected 13 times at All Saints hospital,30% construction of street lights,1 Forum meetings with human settlements conducted,13661000
Municipal Manager's Office,1,1,Municipal Manager's Office,47,Infrastructure and Service Delivery,7,3,Construction  of street light ,%,1,Refuse collection register Signed by driver and representative from the Masonwabe Clinic,Nil,Street light designs developed by  June 2017,1 Forum meetings with human settlements conducted,Refuse  collected 7 times  per week in town,1 Forum meetings with human settlements conducted,1 Forum meetings with human settlements conducted,
Municipal Manager's Office,1,1,Municipal Manager's Office,48,Infrastructure and Service Delivery,7,3,4 forum meetings with human settlements conducted,,1,Refuse collection register Signed by driver and representative from the Masonwabe Clinic,Nil,4 forum meetings with human settlements conducted by June 2017,1 Forum meetings with human settlements conducted,Refuse  collected 39 times a quarter at Time-housing,1 Forum meetings with human settlements conducted,Refuse collected 13 times at All Saints hospital,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,49,Infrastructure and Service Delivery,8,3,Collection of refuse 52  times at the  All Saints hospital ,%,1,"signed attendance registers, photos, invites & reports",Nil,52 times for collection of refuse  at  All Saints Hospital by June 2017,1 Forum meetings with human settlements conducted,,1 Forum meetings with human settlements conducted,Refuse  collected 7 times  per week in town,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,50,Infrastructure and Service Delivery,8,3,Collection of refuse 7 days per week in town (ward 11)  ,,1,"signed attendance registers, photos, invites & reports",Nil,7 days per week for collection of Refuse in Town (ward 11) by June 2017,1 Forum meetings with human settlements conducted,,1 Forum meetings with human settlements conducted,Refuse  collected 39 times a quarter at Time-housing,2000000
Municipal Manager's Office,1,1,Municipal Manager's Office,51,Infrastructure and Service Delivery,8,3,Collection of refuse 156 times at Time-housing (ward 11),number,1,"signed attendance registers, photos, invites & reports",Nil,156 times for collection of  Refuse at Time housing (ward 11) by June 2017,,Refuse collected 39 times at Donville,1 Forum meetings with human settlements conducted,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,52,Infrastructure and Service Delivery,8,3,Collection of refuse 156 times at Donville,,1,"signed attendance registers, photos, invites & reports",Nil,156 times for collection of  Refuse at Donville by June 2017,,Refuse collected 39 times at extension 5 & 9,1 Forum meetings with human settlements conducted,,30000000
Municipal Manager's Office,1,1,Municipal Manager's Office,53,Infrastructure and Service Delivery,8,3,Collection of refuse 156 times  at extension 5 & 9 ,Report,1,"Advert, appointment letter, terms of reference, reports",Nil,156  times for collection of  Refuse at extension 5 & 9 by June 2017,Refuse collected 13 times at All Saints hospital,Refuse collected 13 times Masonwabe Clinic,1 Forum meetings with human settlements conducted,Refuse collected 39 times at Donville,
Municipal Manager's Office,1,1,Municipal Manager's Office,54,Infrastructure and Service Delivery,8,3,Collection of refuse 52 times at Masonwabe Clinic (ward 11)  ,,1,"Advert, appointment letter, terms of reference, reports",Nil,52 times for collection of  Refuse at Masonwabe Clinic ( ward 11) by June 2017,Refuse  collected 7 times  per week in town,,1 Forum meetings with human settlements conducted,Refuse collected 39 times at extension 5 & 9,
Municipal Manager's Office,1,1,Municipal Manager's Office,55,Infrastructure and Service Delivery,9,3,Conduct 4 education and awareness campaign on solid waste & environmental management,Report,1,"Contracts, attendance registers, & report",Nil,4 Education & awareness campaign on solid waste & environmental management conducted by June 2017,Refuse  collected 39 times a quarter at Time-housing,1 Education & awareness campaign on solid waste & environmental management conducted,1 Forum meetings with human settlements conducted,Refuse collected 13 times Masonwabe Clinic,
Municipal Manager's Office,1,1,Municipal Manager's Office,56,Infrastructure and Service Delivery,14,3,Installation of weigh bridge,,1,"Contracts, attendance registers, & report",Nil,Installed weigh bridge at Engcobo Landfill site by June 2017,,,1 Forum meetings with human settlements conducted,,
Municipal Manager's Office,1,1,Municipal Manager's Office,57,Infrastructure and Service Delivery,14,3,Implementation of recycling Programme,,1,"Reports, delivery note & photos",Nil,100% implementation of the waste Recycling programs by June 2017,,,1 Forum meetings with human settlements conducted,1 Education & awareness campaign on solid waste & environmental management conducted, 0
Municipal Manager's Office,1,1,Municipal Manager's Office,58,Infrastructure and Service Delivery,14,3,Implementation of the beautification & greening Programs (tree planting),%,1,"Reports, delivery note & photos",Nil,100% completion of beautification & greening programs by June 2017,Refuse collected 39 times at Donville,,1 Forum meetings with human settlements conducted,,120000
Municipal Manager's Office,1,1,Municipal Manager's Office,59,Infrastructure and Service Delivery,14,3,Installation of 20  Waste bins around town,%,1,"Appointment letter, photos, reports",Nil,20 Waste bins installed around town(20) by June 2017,Refuse collected 39 times at extension 5 & 9,Advertisement for the Installation of weigh-bridge at landfill site,1 Forum meetings with human settlements conducted,,700000
Municipal Manager's Office,1,1,Municipal Manager's Office,60,Infrastructure and Service Delivery,10,3,CCTV and Cameras be installed in all the municipal offices,,1,"Appointment letter, photos, reports",Nil,CCTV and Cameras be installed in all the municipal offices by June 2017,Refuse collected 13 times Masonwabe Clinic,,Appointment of service provider for the construction of 2 Boreholes in Zabasa (Ward 19)  and 1 Borehole in Nkondlo (Ward 17),,0
Municipal Manager's Office,1,1,Municipal Manager's Office,61,Infrastructure and Service Delivery,14,3,Appointment of service provider for all Municipal buildings,Reports,1,"Advert, appointment letter, Delivery note, photos",Nil,Security company appointed for all Municipal buildings  by June 2017,,"Training of  EPWP waste recycler, supply and delivery of protective clothing","Advertising and Appointment of service provider for the construction of Construction of 1 Feedlot(Fencing, Borehole, Storage",Installation of weigh-bridge at landfill site,
Municipal Manager's Office,1,1,Municipal Manager's Office,62,Infrastructure and Service Delivery,14,3,Completion ablution facilities and showers in the workshop  ,Reports,1,"Advert, appointment letter, Delivery note, photos",Nil,100% Completion  of the ablution facilities and showers in the workshop  by June 2017,1 Education & awareness campaign on solid waste & environmental management conducted,,Appointment of service provider for the development of an Agricultural Strategy,,
Municipal Manager's Office,1,1,Municipal Manager's Office,63,Infrastructure and Service Delivery,14,3,Completion of the Fencing in the Traffic department,,1,"Advert, appointment letter, Delivery note, photos",Nil,100% Completion fo the Fencing for Traffic department by June 2017,,100% Implementation of the beautification & greening Programs,Appointment of service for the purchasing of  inputs for New Minds Co-op in and New Minds co-op Lahlangubo,50% Implementation of the waste recycling Programme,
Municipal Manager's Office,1,1,Municipal Manager's Office,64,Infrastructure and Service Delivery,11,3,"Supply, deliver and install a Landfill  Compactor machine for Landfill site",Reports,1,"Advert, appointment letter, Delivery note, photos",Nil,"Supplied, delivered and installed a Landfill Compactor machine for Landfill site by June 2017",,,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,65,Infrastructure and Service Delivery,11,3,Construction of Fencing of the  Town Library and Indoor Sport center,Road block register dated  photo's ,1,"Advert, appointment letter, Delivery note, photos",Refuse collected 48 times at All Saints hospital for 2015/16,Constructed Fencing of the  Town Library and Indoor Sport center by June 2017,,Appointment of Service provider for the installation of waste bin around town,,Nil,
Municipal Manager's Office,1,1,Municipal Manager's Office,66,Infrastructure and Service Delivery,12,3,Conducted 1  HIV/AIDS Training for War rooms by June 2017,Registers,1,"Advert, Appointment letter and progress Report",Refuse  collected 7 times  per week in town for 2015/16,Conduct 1  HIV/AIDS Training for War rooms by June 2017,Develop specification & terms of reference ,,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,67,Infrastructure and Service Delivery,13,3,Co-ordinate 4 roadblocks,Registers,1,"Advert, Appointment letter and progress Report",Refuse collected 144 times at Time-housing for 2015/16,4 Roadblocks coordinated  by June 2017,,N/A,"Appointment of service provider for the development of designs for the construction of the production hall, Advertisement  for the construction of production hall",Installation of 10 Waste bins around town,
Municipal Manager's Office,1,1,Municipal Manager's Office,68,Infrastructure and Service Delivery,13,3,Purchasing of Traffic equipment,Number,1,,,Purchasing of Traffic Equipment by 30 June 2017,Recruitment of 25 waste recyclers & advertisement of protective clothing,,Submission of final  site visit report and Advertisement and appointment of service provider for purchasing of Piggery inputs,,
Municipal Manager's Office,1,1,Municipal Manager's Office,69,Infrastructure and Service Delivery,13,3,conduct 2 education and 2 awareness campaigns on road safety,Number,1,"Advert, Appointment letter and Delivery Note",,2educational and 2 awareness campaigns conducted on road safety by June 2017,,Advert and Appointment of service provider for Security company of all municipal Buildings,N/A,CCTV and Cameras be installed at the municipal town offices,
Municipal Manager's Office,1,1,Municipal Manager's Office,70,Infrastructure and Service Delivery,13,3,Conduct 4000 learners license,,1,"Advert, Appointment letter and progress Report",Refuse collected 144 times at Donville for 2015/16,Conducted 4000 learners license by June 2017,Submission of specification and advertisement for the installation of waste bins around town,,1 Business forum meetings attended,,
Municipal Manager's Office,1,1,Municipal Manager's Office,71,Infrastructure and Service Delivery,13,3,Conducted 3600 driver’s license  ,Reports,1,,Refuse collected 144 times  at extension 5 & 9 for 2015/16,Conducted 3600 driver’s license  by June 2017,,,,N/A,1.2m
Municipal Manager's Office,1,1,Municipal Manager's Office,72,Infrastructure and Service Delivery,13,3,Stadium renovated in ward 17(Nkondlo),%,1,Certificates and signed Registers,Refuse collected 48 times at  Masonwabe Clinic for 2015/16,Conducted 400 renewal of driver’s license and PDP by June 2017,N/A,Submission of specification and advertisement for the ablution facilities and showers in the workshop  ,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,73,Infrastructure and Service Delivery,14,3,100 % Construction of the Pound facility,"Signed attendance, reports, and photos",1,Road block register dated  photo's ,,stadium( Nkondlo Ward 17) renovated by June 2017,N/A,Submission of specification  for the Fencing in the Traffic department,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,74,Infrastructure and Service Delivery,14,3,"Implement HIV/AIDS, STI, & TB programs ",Registers,1,Delivery note,Nil,100 % Construction of the Pound facility by June 2017,N/A,,1 LED forum meetings attended,100% Completion ablution facilities and showers in the workshop  ,
